Model,2022-08-08T00:00:00.000Z,2022-08-15T00:00:00.000Z,2022-08-22T00:00:00.000Z,2022-08-29T00:00:00.000Z,2022-09-05T00:00:00.000Z,2022-09-12T00:00:00.000Z,2022-09-19T00:00:00.000Z
yochen/distilroberta-base-finetuned-marktextepoch_200,,,,,,,
hamedkhaledi/persian-flair-pos,6,0,0,3,0,3,
tner/deberta-v3-large-conll2003,8,0,0,3,85,14,1
theta/sentcore,31,3,7,12,6,5,2
DesignToBe/style-transfer-shakespear,40,12,0,0,6,,
Qilex/bart-largeEN-ME,19,0,0,3,3,,
seanmemery/SpaceSafetyRoberta,9,0,11,3,36,0,2
pucpr-br/genia-ner-biobert-iob2,39,0,0,7,,,
bigscience/bloom-3b-intermediate,17,9,4,0,0,10,
Sameen53/facebook_large_CV_bn3,26,0,0,1,,,
Chandanab/beit-base-patch16-224-pt22k-finetuned-eurosat,6,26,18,,,,
aks234/t5-small-finetuned-xsum,17,0,16,,,,
harveyagraphcore/bert-base-uncased-finetuned-squad,40,,,,,,
href/gpt2-schiappa,55,0,2,0,4,,
rwang5688/distilbert-base-uncased-finetuned-sst2,16,0,0,0,0,4,
Ammar-alhaj-ali/arabic-MARBERT-dialect-identification-city,24,9,3,4,8,6,
Einmalumdiewelt/10k_MT5_small_sum-de_GNAD,3,0,0,7,15,,
Rocketknight1/student_marian_en_ro_6_1,38,0,0,0,1,,
Aryan4/sucidal,21,3,3,0,3,7,
zboxi7/finetuning-sentiment-model-3000-samples,28,3,,,,,
derwahnsinn/gpt2-sheldor,29,0,0,1,1,1,
leokai/finetuned-marktextepoch-n600,6,6,0,13,,,
Akbar-Ali/autotrain-News_Summariser_Eng-1224546522,8,0,6,1,3,2,
Bhumika-kumaran/t5-small-finetuned-xsum,8,0,14,0,3,,
Chandanab/deit-tiny-patch16-224-finetuned-eurosat,6,28,10,,,,
NoNeuronsNoStress/gpt-ady-endre,38,0,3,,,,
Tomohiro/RealMedNLP_CR_JA,8,6,0,13,,,
anki08/t5-small-finetuned-text2log-finetuned-nl-to-fol,11,9,6,2,,,
hazrulakmal/benchmark-finetuned-bert,7,8,0,2,0,1,1
Jinchen/t5-small-finetuned-xsum,14,0,14,,,,
sherwinseah/Fine-tuned-T5-for-MCQGenerator,3,3,3,3,4,17,
Waleed-bin-Qamar/NER-distilbert-base-uncased-wnut_17,30,8,0,0,0,2,
Epidot/TwitchLeagueBert-1000k-finetuned-highlight-detection,21,0,0,0,0,7,
L-macc/autotrain-Biomedical_sc_summ-1217846142,10,16,0,0,0,3,
celine45688/LuTing,2,0,0,0,1,,
omar47/wav2vec2-large-xls-r-300m-urdu-cv-10,3,1,0,5,10,,
ultra-coder54732/3-way-detection-prop-16,10,0,10,0,0,2,
Morfeo/xlm-roberta-large-NER-AstrID-tok,0,0,1,0,0,1,
alex-apostolo/legal-roberta-base-filtered-cuad,5,3,11,0,3,,
ctu-aic/xlm-roberta-large-squad2-ctkfacts,4,2,0,2,13,1,
embedding-data/deberta-sentence-transformer,3,2,2,1,4,,
keepitreal/MiniPhoBert-v1,0,4,,,,,
BlackKakapo/t5-base-paraphrase-ro,0,4,,,,,
SharpAI/mal-tls-bert-large-relu-w8a8,9,,,,,,
CennetOguz/gpt2kit_30_full,,,,,,,
alex-apostolo/legal-bert-small-cuad,20,2,,,,,
annahaz/distilbert-base-multilingual-cased-misogyny-sexism-decay0.01-fr-indomain,28,,,,,,
keepitreal/mini-phobert-v3,,,,,,,
sangcamap/vi-squad-0,15,,,,,,
tensorcat/monogptari-6.7b,0,2,0,1,,,
tner/deberta-large-wnut2017,4,2,12,17,,,
AravindKumarRajendran/t5-small-xsum,4,0,13,0,1,,
DOOGLAK/wikigold_trained_no_DA_small,0,0,0,0,0,1,
mn367/wav2vec2-base-radio,12,3,,,,,
theojolliffe/bart-paraphrase-v4-e1,10,0,4,2,,,
Jinchen/gpt2-wikitext2,0,17,3,0,0,0,1
leabum/distilbert-base-uncased-finetuned-cuad,13,0,0,0,0,8,
myodoctor/DIALOGPT-medium-HarryPotterBot,15,,,,,,
pcuenq/ddpm-ema-pets-64,,,,,,,
lauer/distilbert-base-uncased-finetuned-emotion,18,3,,,,,
Farshid/bert-large-uncased-financial-phrasebank-allagree2,5,0,4,0,0,5,1
Farshid/roberta-large-financial-phrasebank-allagree1,3,3,0,0,3,9,1
SharpAI/mal-tls-t5-l3,13,,,,,,
ahmedbilal5/t5-base-QG-finetuned-FairytaleQA,1,0,5,0,6,,
asvs/qs-classifier,14,0,0,0,0,2,1
dsantistevan/distilbert-base-uncased-bert-yoga-finetuned,19,,,,,,
naem1023/2-5-pretrain,12,,,,,,
paola-md/recipe-reg,,,,,,,
plant/segformer-b5-finetuned-segments-instryde-foot-test,7,1,0,2,6,2,1
qiaoyi/Comment_Summarization4DesignTutor,3,3,0,5,3,1,
sepidmnorozy/sentiment-10Epochs-3,20,3,,,,,
Evelyn18/roberta-base-bne-ROBERTaBECAS,,,,,,,
Lvxue/distilled-mt5-small-900010,18,,,,,,
VanessaSchenkel/padrao-mbart-finetuned-news_commentary,14,0,0,0,2,1,
asvs/qs-classifier-bert,11,0,0,0,0,2,1
dminiotas05/distilbert-base-uncased-finetuned-ft1500_norm500_aug2-3,12,,,,,,
ericntay/clinical_bio_bert_ft,10,3,0,3,,,
louis030195/multi-qa-MiniLM-L6-cos-v1-obsidian,7,9,,,,,
woojinSong/my_bean_VIT,7,,,,,,
Lvxue/distilled-mt5-small-009901,18,,,,,,
SharpAI/mal-tls-bert-large-relu,,,,,,,
clevrly/xlnet-base-mnli-orgs-finetuned1,12,,,,,,
huggingtweets/apesahoy-chai_ste-punishedvirgo,,,,,,,
huggingtweets/chipflake,6,,,,,,
keepitreal/mini-phobert-v3.1,0,1,,,,,
paola-md/recipe-distil,0,3,,,,,
yuewu/toc_titler,10,1,,,,,
Izarel/bert-base-uncased_title_fine_tuned,6,0,0,0,0,1,1
Lvxue/distilled-mt5-small-0.5,12,,,,,,
Lvxue/distilled-mt5-small-0.9,12,,,,,,
Lvxue/distilled-mt5-small-hiddentest,14,,,,,,
ahadda5/keyBART_cve150k_v1,6,0,0,4,3,0,2
bigscience/bloom-1b1-intermediate,2,3,0,0,8,0,2
erikanesse/great-books-bot-4,14,,,,,,
huggingtweets/calm,11,4,,,,,
huggingtweets/jimmie_graham,,,,,,,
mikesun112233/t5-base-finetuned-question-generation-ap,2,3,0,0,1,3,
notaproblem00/DialoGPT-small-bakugou,5,,,,,,
olgaduchovny/t5-base-ner-mit-restaurant,2,11,,,,,
pc2976/prot_bert-finetuned-sp6,,,,,,,
shamweel/mt5-small-summarizer-finetuned,3,0,3,3,3,,
theojolliffe/bart-paraphrase-v8-e1-rev,5,8,3,0,3,,
therealcyberlord/stanford-car-vit-patch16,9,0,3,0,6,,
Asma-Kehila/finetuning-sentiment-model-3000-samples,6,3,1,2,,,
Lvxue/distilled-mt5-small-010099,14,,,,,,
ZhiyuanQiu/camembert-base-finetuned-dd-avec_symbole,9,,,,,,
abdulmatinomotoso/article_title,0,5,,,,,
Mozart-coder/DNA_BigBird_3,7,1,,,,,
Mozart-coder/DNA_bert_3-finetuned,8,,,,,,
SmartPy/xlm-roberta-base-finetuned-my_dear_watson,9,,,,,,
TheLitttleThings/clip-archdaily-5k,6,,,,,,
abdulmatinomotoso/multi_news_article_title_5000,0,5,,,,,
amartyobanerjee/mt5-small-finetuned-amazon-en-es,5,0,2,0,4,,
annahaz/distilbert-base-multilingual-cased-misogyny-sexism-decay0.01-fr-outofdomain,14,,,,,,
annahaz/xlm-roberta-base-misogyny-sexism-decay0.025-fr-indomain,10,0,0,0,0,3,
annahaz/xlm-roberta-base-misogyny-sexism-decay0.05-fr-indomain,12,,,,,,
eliwill/distilgpt2-discursive-krishna,14,0,0,0,0,6,
elopezlopez/Bio_ClinicalBERT_fold_2_ternary_v1,3,0,0,0,0,2,
evamaxfield/soft-search,0,0,0,3,,,
happy098/pegasus-samsum,0,0,0,0,3,,
nondevs/simcse-model-thai-v0,0,0,0,0,1,3,
sumba/covid-twitter-bert-v2-no_description-stance-loss-hyp-unprocess2,6,0,0,0,0,1,1
theojolliffe/bart-paraphrase-v1-e1,2,4,,,,,
yewwdunsay/t5-end2end-questions-generation,0,3,,,,,
zboxi7/finetuning-sentiment-model-3000-samples_fr,6,3,0,3,,,
AdamAbate1/wav2vec2-base-finetuned-ks,0,1,,,,,
Bingsu/timm-mobilevitv2_050-beans,7,0,0,0,0,0,1
aks234/pegasus-samsum,2,0,4,1,,,
domenicrosati/deberta-v3-large-finetuned-dagpap22-only-and-real,9,,,,,,
domenicrosati/deberta-v3-large-finetuned-syndag-multiclass-not-bloom,7,,,,,,
elopezlopez/Bio_ClinicalBERT_fold_1_ternary_v1,3,0,0,0,0,2,
elopezlopez/distilbert-base-uncased_fold_10_binary_v1,,,,,,,
haesun/distilbert-base-uncased-finetuned-clinc,7,1,,,,,
huggingtweets/skobae7,2,,,,,,
okho0653/Bio_ClinicalBERT-zero-shot-finetuned-50cad-50noncad-optimal,,,,,,,
tester2047/finetuning-sentiment-model-3000-samples,5,,,,,,
ultra-coder54732/comment-detection-prop-16,2,,,,,,
ultra-coder54732/stance-detection-prop-16,0,6,0,0,0,1,
DOOGLAK/wikigold_trained_no_DA_testing2,,,,,,,
L-macc/autotrain-Biomedical_sc_summ-1217846144,0,0,2,0,5,,
Yuri/xlm-roberta-base-finetuned-panx-de,,,,,,,
abdulmatinomotoso/multi_news_article_title_12000_2,3,0,2,,,,
ajanco/candy-first,,,,,,,
dminiotas05/distilbert-base-uncased-finetuned-ft1500_norm500,1,,,,,,
huggingtweets/sama,0,0,0,2,1,,
koorukuroo/KcELECTRA_base_beep,2,0,0,0,0,2,1
okho0653/Bio_ClinicalBERT-zero-shot-finetuned-all-cad,0,3,0,0,0,2,
silviacamplani/distilbert-base-uncased-finetuned-ai_data,,,,,,,
theojolliffe/bart-paraphrase-v8-e1,7,,,,,,
tner/deberta-v3-large-bc5cdr,9,,,,,,
zboxi7/finetuning-sentiment-model-1000-samples,6,,,,,,
DOOGLAK/wikigold_trained_no_DA,,,,,,,
Erolgo/CarID,5,0,6,,,,
JTH/twitter_classification,,,,,,,
Jinchen/bart-base-finetuned-en-to-ro,6,0,0,3,,,
KaranChand/wav2vec2-XLSR-ft-10,2,,,,,,
abdulmatinomotoso/multi_news_article_title_2299,,,,,,,
aya-se/distilbert-base-uncased-finetuned-emotion,7,0,0,0,0,2,
bassemessam/wav2vec2-large-xls-r-300m-arabic-saudi-colab,0,0,0,1,,,
bigscience/bloom-1b7-intermediate,5,,,,,,
dminiotas05/distilbert-base-uncased-finetuned-ft1500_norm500_aug1,5,,,,,,
dminiotas05/distilbert-base-uncased-finetuned-ft1500_norm500_aug2,4,,,,,,
domenicrosati/deberta-v3-large-finetuned-syndag-multiclass-not-gpt2-arxiv,3,3,,,,,
elopezlopez/Bio_ClinicalBERT_fold_2_binary_v1,,,,,,,
elopezlopez/Bio_ClinicalBERT_fold_3_ternary_v1,3,0,0,0,0,2,
elopezlopez/Bio_ClinicalBERT_fold_4_ternary_v1,3,0,0,0,0,2,
elopezlopez/Bio_ClinicalBERT_fold_5_ternary_v1,3,0,0,0,0,2,
huggingtweets/jimmie_graham-twittels,,,,,,,
keepitreal/mini-phobert-v2.1,,,,,,,
kh4dien/distilgpt2-convo,,,,,,,
osanseviero/flair_test,6,,,,,,
pritoms/opt-350m-opty-350m-lectures,3,1,,,,,
spacemanidol/esci-jp-mpnet-crossencoder,4,0,0,0,0,1,
theta/test_trainer,5,3,,,,,
yokoe/distilbert-base-uncased-finetuned-emotion,3,0,0,0,1,2,
abdulmatinomotoso/multi_news_article_title_25000_2,4,,,,,,
cataluna84/xlm-roberta-base-finetuned-panx-all,3,,,,,,
cochonaki/distilbert-base-uncased-finetuned-cola,0,0,1,0,1,,
dminiotas05/distilbert-base-uncased-finetuned-ft1500_norm1000,,,,,,,
dminiotas05/distilbert-base-uncased-finetuned-ft1500_norm500_aug4,4,,,,,,
elopezlopez/Bio_ClinicalBERT_fold_5_binary_v1,,,,,,,
elopezlopez/distilbert-base-uncased_fold_12_binary_v1,,,,,,,
evs/xlm-roberta-finetuned-hipe2020-fr-3,,,,,,,
jmassot/distilbert-base-uncased-jm-finetuned-emotion_hub,0,0,0,0,0,2,
keepitreal/mini-phoelectra-v1,,,,,,,
leokai/finetuned-marktextepoch-n500,3,,,,,,
nikhilnayak/lyrics.ai,,,,,,,
silviacamplani/distilbert-base-uncased-finetuned-dapt-ner-ai_data_3labels,,,,,,,
theojolliffe/bart-paraphrase-v2-e1,2,,,,,,
GuiGel/xlm-roberta-base-finetuned-panx-all,,,,,,,
Jinchen/bert-base-uncased-finetuned-ner,4,,,,,,
Keneston/xlm-roberta-base-finetuned-panx-de,3,,,,,,
Tonjk/wangchanberta-base-att-spm-uncased,,,,,,,
ZhiyuanQiu/camembert-base-finetuned-Dd-mixte-symbole,,,,,,,
abdulmatinomotoso/article_title_2299,,,,,,,
abdulmatinomotoso/multi_news_article_title_1200,,,,,,,
abdulmatinomotoso/multi_news_article_title_25000_1,3,,,,,,
abdulmatinomotoso/multi_news_article_title_7500,,,,,,,
abyaugustinek/distilbert-base-uncased-finetuned,,,,,,,
ahadda5/KBIR_cve150k_v1,3,,,,,,
alex-apostolo/legal-bert-small-filtered-cuad,3,,,,,,
dminiotas05/distilbert-base-uncased-finetuned-ft1500_norm500_aug5,3,,,,,,
ilan541/sbert_ssid,0,0,0,0,1,,
jmassot/xlm-roberta-base-jm-finetuned-panx-de-fr_hub,5,,,,,,
juletxara/lxmert-vsr-zeroshot,,,,,,,
juletxara/visualbert-vsr-random,,,,,,,
kuberpmu/distilbert-base-cased-distilled-squad-finetuned-squad,,,,,,,
leokai/distilbert-base-uncased-finetuned-wikiandmark_epoch60,1,,,,,,
leokai/finetuned-marktextepoch-n200,3,,,,,,
mbarnig/opus-tatoeba-mt-lb-en,3,,,,,,
mlegls/usv3_usdc_predictor_0,3,,,,,,
mohammadhadiarabi/ddpm-butterflies-128,4,,,,,,
olgaduchovny/t5-base-ner-mit-movie,2,0,0,0,1,,
omriuz/distilbert-base-uncased-finetuned-mnli,,,,,,,
osanseviero/distilroberta-base-sentence-transformer,2,,,,,,
silviacamplani/distilbert-base-uncased-finetuned-dapt-ner-ai_data,,,,,,,
srcocotero/bert-qa-es,,,,,,,
theojolliffe/bart-paraphrase-v0.75-e1,,,,,,,
DOOGLAK/wikigold_trained_no_DA_testing,,,,,,,
DavidNovikov/ddpm-butterflies-128,2,,,,,,
GuiGel/xlm-roberta-base-finetuned-panx-en,,,,,,,
GuiGel/xlm-roberta-base-finetuned-panx-fr,,,,,,,
GuiGel/xlm-roberta-base-finetuned-panx-it,,,,,,,
Hazam/distilbert-base-uncased-finetuned-imdb,,,,,,,
LiptaphX/wav2vec2-large-xls-r-300m-turkish-colab,,,,,,,
Yuri/xlm-roberta-base-finetuned-panx-de-fr,,,,,,,
ZhiyuanQiu/camembert-base-finetuned-DD-sans-symbole,,,,,,,
ariesutiono/scibert-lm-v1-finetuned-20,,,,,,,
avuhong/libCap_prBERTbfd_clf,,,,,,,
cataluna84/xlm-roberta-base-finetuned-panx-de,,,,,,,
cataluna84/xlm-roberta-base-finetuned-panx-de-fr,,,,,,,
cataluna84/xlm-roberta-base-finetuned-panx-en,,,,,,,
cataluna84/xlm-roberta-base-finetuned-panx-fr,,,,,,,
cataluna84/xlm-roberta-base-finetuned-panx-it,,,,,,,
evs/xlm-roberta-finetuned-panx-de-11-tags-hipe2020-de,,,,,,,
fzwd6666/NLT-trainer,,,,,,,
gostrive/distilbert-base-uncased-finetuned-squad-d5716d28,2,,,,,,
huggingtweets/apesahoy-jrc1921-spicymoregano,,,,,,,
huggingtweets/calm-headspace,,,,,,,
huggingtweets/dominic_w-lastmjs-vitalikbuterin,,,,,,,
huggingtweets/xnicoleanistonx,,,,,,,
jerryw/my_bert-base-cased,,,,,,,
jmassot/xlm-roberta-base-jm-finetuned-panx-all_hub,2,,,,,,
jmassot/xlm-roberta-base-jm-finetuned-panx-de_hub,2,,,,,,
jmassot/xlm-roberta-base-jm-finetuned-panx-fr_hub,2,,,,,,
jmassot/xlm-roberta-base-jm-finetuned-panx-it_hub,2,,,,,,
juletxara/lxmert-vsr-random,,,,,,,
juletxara/vilt-vsr-random,,,,,,,
juletxara/visualbert-vsr-zeroshot,,,,,,,
ligerre/distilbert-base-uncased-finetuned-clinc,,,,,,,
parnyanp/distilbert-base-uncased-finetuned-emotion,2,,,,,,
quadpartisan/ddpm-butterflies-128,,,,,,,
royam0820/xlm-roberta-base-finetuned-panx-de,2,,,,,,
skr1125/xlm-roberta-base-finetuned-panx-all,,,,,,,
skr1125/xlm-roberta-base-finetuned-panx-de-fr,,,,,,,
skr1125/xlm-roberta-base-finetuned-panx-en,,,,,,,
skr1125/xlm-roberta-base-finetuned-panx-fr,,,,,,,
skr1125/xlm-roberta-base-finetuned-panx-it,,,,,,,
spacemanidol/esci-es-mpnet-crossencoder,2,,,,,,
sunilkumardash9/finetuning-sentiment-model-3000-samples,,,,,,,
theojolliffe/bart-paraphrase-v0.5-e1,,,,,,,
tj-solergibert/xlm-roberta-base-finetuned-panx-de,,,,,,,
tj-solergibert/xlm-roberta-base-finetuned-panx-de-fr,,,,,,,
tj-solergibert/xlm-roberta-base-finetuned-panx-fr,,,,,,,
tj-solergibert/xlm-roberta-base-finetuned-panx-it,,,,,,,
vinayak361/token_fine_tunned_flipkart_2_gl,2,,,,,,
