author,model,model_creation_time,model_count,all_author,limitation_section_content_clean
BritishLibraryLabs,BritishLibraryLabs/bl-books-genre,2021-09-15 09:38:05+00:00,1,BritishLibraryLabs,model train datum create digitise print book th th century book collection dataset collection comprise derive digitise book volume largely th century dataset dominate english language book include book number language small number whilst subset datum metadata relate genre majority dataset currently contain information model originally develop use living machine project order able ' segment ' large dataset book different category base ' crude ' classification genre I e title fiction non fiction particular area model limit
projecte-aina,projecte-aina/roberta-base-ca-v2-cased-sts,2022-06-30 07:55:48+00:00,1,projecte-aina,roberta base v cased st model use assess similarity snippet text model limit training dataset generalize use case
hugginglearners,hugginglearners/flowers_101_convnext_model,2022-07-04 00:50:48+00:00,1,hugginglearners,model use classify flower limitationseven picture upload flower notice predict flower model validation dataset accuracy
Gorilla115,Gorilla115/t5-shakespearify-lite,2022-08-09 19:33:07+00:00,1,Gorilla115,novelty project intend play limitation translate english english minor tweak tweak maybe change sentence structure minor word substitution work unsurprisingly story base excerpt like
LeBenchmark,LeBenchmark/wav2vec2-FR-3K-large,2021-03-25 14:53:15+00:00,1,LeBenchmark,pretraine wav vec model distribute apache licence reuse extensively strict limitation benchmark datum link corpus completely open sourced
projecte-aina,projecte-aina/roberta-base-ca-v2-cased-tc,2022-06-30 07:55:23+00:00,1,projecte-aina,roberta base v cased tc model use classify text model limit training dataset generalize use case
Jorgeutd,Jorgeutd/bert-large-uncased-finetuned-ner,2022-02-11 14:39:22+00:00,1,Jorgeutd,model limit training dataset entity annotate news article specific span time generalize use case different domain furthermore model occassionally tag subword token entity post processing result necessary handle case
projecte-aina,projecte-aina/roberta-base-ca-v2-cased-ner,2022-06-30 07:53:54+00:00,1,projecte-aina,roberta base v cased ner model use recognize entity provide text model limit training dataset generalize use case
projecte-aina,projecte-aina/roberta-base-ca-v2-cased-pos,2022-06-30 07:56:13+00:00,1,projecte-aina,roberta base v cased pos model use speech tagging pos text model limit training dataset generalize use case
phtran,phtran/stt_en_conformer_ctc_small,2022-09-25 04:42:59+00:00,1,phtran,  declare potential limitation model eg model train publically available speech dataset performance model degrade speech include technical term vernacular model train model perform bad accent speech
uripper,uripper/ReviewTrainingBot,2022-08-22 20:54:37+00:00,1,uripper,model intend use entertainment limitation model distilgpt view include persistent bias issue language specifically letterboxd algorithm able understand I e lgbt film letterboxd multiple review mention word gay positively model able understand contextual usage use word slur current model struggle find connection movie title review happen enter movie
julian-schelb,julian-schelb/roberta-ner-multilingual,2022-09-06 19:53:00+00:00,1,julian-schelb,model limit training dataset entity annotate news article specific span time generalize use case different domain
mojians,mojians/E2E-QA-Mining,2022-04-01 16:03:34+00:00,1,mojians,model limit generate question style find squad generate question potentially lead reflect bias present context context short completely absent context answer match generate question likely incoherent
huggingface,camembert-base,2019-11-16 04:17:25+00:00,1,huggingface,content warning reader aware section contain content disturb offensive propagate historical current stereotype significant research explore bias fairness issue language model e g sheng et al bender et al model pretrinae subcorpus oscar multilingual corpus limitation risk associate oscar dataset far detailed oscar dataset card include follow quality oscar sub corpus low expect specifically low resource language construct common crawl personal sensitive information present
huggingface,roberta-large-mnli,2019-08-05 01:03:17+00:00,1,huggingface,content warning reader aware section contain content disturb offensive propogate historical current stereotype significant research explore bias fairness issue language model e g sheng et al bender et al roberta large model card note training datum use model contain lot unfiltered content internet far neutral prediction generate model include disturbing harmful stereotype protect class identity characteristic sensitive social occupational group example user direct downstream aware risk bias limitation model
LiYuan,LiYuan/amazon-query-product-ranking,2022-04-27 14:12:45+00:00,1,LiYuan,distilbert primarily aim fine tune task use sentence potentially mask decision sequence classification token classification question answer fine tune version distilbert use predict relevance query product description use rerank relevance order product query amazon platform e commerce platform limitation train model focus query product amazon apply model domain perform poorly
DTAI-KULeuven,DTAI-KULeuven/robbertje-merged-dutch-sentiment,2022-06-29 12:17:36+00:00,1,DTAI-KULeuven,domain review limit book review author book review woman cause difference performance review write man woman
DTAI-KULeuven,DTAI-KULeuven/robbert-v2-dutch-sentiment,2022-05-30 16:53:44+00:00,1,DTAI-KULeuven,domain review limit book review author book review woman cause difference performance review write man woman model discuss paper conversion issue original training year ago easy retrain model accuracy slightly low model train beginning review instead end review
Milos,Milos/slovak-gpt-j-162M,2022-02-09 10:17:24+00:00,1,Milos,foremost capability particular model limited relatively small size total m parameter intend use particular model educate fun dataset contain profanity politically incorrect language unintentionally bit text czech model generate extent example model output prompt czech
kurianbenoy,kurianbenoy/kde_en_ml_translation_model,2022-03-14 17:58:27+00:00,1,kurianbenoy,intend use fun sake learninglimitation return bad prediction occasionally
SebastianS,SebastianS/dummy-model,2021-12-24 15:48:24+00:00,1,SebastianS,intend use limitation camembert base model
HannahRoseKirk,HannahRoseKirk/Hatemoji,2022-04-13 09:36:34+00:00,1,HannahRoseKirk,intend use model classify english language emoji contain short form text document binary task non hateful vs hateful model demonstrate strength compare commercial academic model classify emoji base hate strong classifier text hate model train synthetic adversarially generate datum weakness come empirical emoji base hate ' wild ' interact model dynabench find limitation hope continue improve model new adversarial datum iron remain weakness
justinqbui,justinqbui/bertweet-covid-vaccine-tweets-finetuned,2021-12-14 05:40:11+00:00,1,justinqbui,intend use model detect content covid tweet potentially false mislead model end limitation example post contain image attach satirical image model able distinguish user link website tokenizer allocate special token link mean content link website completely lose tweet reply model look parent tweet lack context model dataset relie crowd source annotation accurate data accurate early december example probably ell tweet regard new omicron variant example true input example false input
nikhedward,nikhedward/bart-large-cnn-finetuned-multi-news,2022-04-13 04:36:34+00:00,1,nikhedward,intend use model downstream summarization task limit input text word text long truncate
justinqbui,justinqbui/bertweet-covid19-base-uncased-pretraining-covid-vaccine-tweets,2021-12-11 04:42:02+00:00,1,justinqbui,intend use model fine tuning downstream task task closely relate covid covid vaccine model potential bias limitation model train public tweet bind recreate bias people tweet order load model tokenizer run
Ayazhankad,Ayazhankad/bert-finetuned-semantic-chinese,2022-08-19 09:24:41+00:00,1,Ayazhankad,limitation observe bias present bert base chinese douban movie short comment kaggle
Matej,Matej/bert-base-buddhist-sanskrit,2022-04-13 11:37:54+00:00,1,Matej,mit license limitation
training-transformers-together,training-transformers-together/dalle-demo-v1,2021-12-06 14:33:17+00:00,1,training-transformers-together,model create demonstration new distribute training method use research purpose author basic dataset filtering model susceptible bias training datum generate inappropriate content moment model generative capability limit absence extensive experiment architecture incomplete training
cffl,cffl/bert-base-styleclassification-subjective-neutral,2022-07-01 19:35:53+00:00,1,cffl,model intend purely research output nlp data science community develop model purpose evaluate text style transfer output specifically derive style transfer intensity sti metric classifier output distribution extract feautre importance model integrate gradient support content preservation score cps imagine model use researcher understand limitation robustness generalization text style transfer model ultimately hope model inspire future work text style transfer serve benchmarke tool style attribute subjectivity bias specifically production use model commercial currently intend team openai point large langauge model like bert reflect bias inherent system train recommend deploy system interact human deployer carry study bias relevant intend use case model wnc dataset sufficiently evaluate performance bias discuss blog series wnc parallel dataset formulate learning task supervised problem model indirectly adopt wikipedia npov policy definition neutrality subjectivity npov policy fully reflect end user assume intend meaning subjectivity notion subjectivity subjective discover exploratory work wnc contain datum quality issue contribute unintended bias model example npov revision introduce factual information outside context prompt means correct bias believe factual base edit scope subjective neutral style transfer modeling task exist nonetheless
cffl,cffl/bart-base-styletransfer-subjective-to-neutral,2022-07-01 18:41:46+00:00,1,cffl,model intend purely research output nlp data science community imagine model use researcher understand limitation robustness generalization text style transfer model ultimately hope model inspire future work text style transfer serve benchmarke tool style attribute subjectivity bias specifically production use model commercial currently intend team openai point large langauge model like bart reflect bias inherent system train recommend deploy system interact human deployer carry study bias relevant intend use case model wnc dataset sufficiently evaluate performance bias effort quantify model performance use custom evaluation metric correlate human evaluation task discuss blog series wnc parallel dataset formulate learning task supervised problem model indirectly adopt wikipedia npov policy definition neutrality subjectivity npov policy fully reflect end user assume intend meaning subjectivity notion subjectivity subjective discover exploratory work wnc contain datum quality issue contribute unintended bias model example npov revision introduce factual information outside context prompt means correct bias believe factual base edit scope subjective neutral style transfer modeling task exist nonetheless
martin-ha,martin-ha/toxic-comment-model,2021-11-30 05:43:35+00:00,1,martin-ha,model intend use classify toxic online classification limitation model perform poorly comment mention specific identity subgroup like muslim follow table evaluation score different identity group learn specific meaning metric basically metric model perform specific group large number table model perform poorly muslim jewish group fact pass sentence muslims people follow practice islam abrahamic monotheistic religion model model classify toxic mindful type potential bias
LiYuan,LiYuan/amazon-review-sentiment-analysis,2022-04-30 20:37:44+00:00,1,LiYuan,bert base primarily aim fine tune task use sentence potentially mask decision sequence classification token classification question answer fine tune version bert base use predict review rating star review limitation train model focus review product amazon apply model domain perform poorly
pszemraj,pszemraj/t5-v1_1-base-ft-jflAUG,2022-04-02 18:05:54+00:00,1,pszemraj,try test example herethus far limitation sentence fragment autocorrecte enter individually complicated pronoun etc agreement fix
