model,author,model_creation_time,limitation_section_name,limitation_section_content,is_empty,has_limitation_in_content,limitation_section_content_clean
distilbert-base-cased-distilled-squad,huggingface,2020-02-07 19:16:00+00:00,"risks, limitations and biases","content warning: readers should be aware that language generated by this model can be disturbing or offensive to some and can propagate historical and current stereotypes.significant research has explored bias and fairness issues with language models (see, e.g., sheng et al. (2021) and bender et al. (2021)). predictions generated by the model can include disturbing and harmful stereotypes across protected classes; identity characteristics; and sensitive, social, and occupational groups. for example:users (both direct and downstream) should be made aware of the risks, biases and limitations of the model.",False,True,content warning reader aware language generate model disturbing offensive propagate historical current stereotype significant research explore bias fairness issue language model e g sheng et al bender et al prediction generate model include disturbing harmful stereotype protect class identity characteristic sensitive social occupational group example user direct downstream aware risk bias limitation model
dslim/bert-base-NER,dslim,2020-03-21 00:53:26+00:00,limitations and bias,"this model is limited by its training dataset of entity-annotated news articles from a specific span of time. this may not generalize well for all use cases in different domains. furthermore, the model occassionally tags subword tokens as entities and post-processing of results may be necessary to handle those cases.",False,True,model limit training dataset entity annotate news article specific span time generalize use case different domain furthermore model occassionally tag subword token entity post processing result necessary handle case
neuraly/bert-base-italian-cased-sentiment,neuraly,2020-07-16 15:29:40+00:00,limitations and bias,"a possible drawback (or bias) of this model is related to the fact that it was trained on a tweet dataset, with all the limitations that come with it. the domain is strongly related to football players and teams, but it works surprisingly well even on other topics.",False,True,possible drawback bias model relate fact train tweet dataset limitation come domain strongly relate football player team work surprisingly topic
akhooli/gpt2-small-arabic,akhooli,2020-07-18 13:00:32+00:00,limitations and bias,"gpt2-small-arabic (trained on arabic wikipedia) has several limitations in terms of coverage (arabic wikipeedia quality, no diacritics) and training performance. 
use as demonstration or proof of concepts but not as production code.",False,True,gpt small arabic train arabic wikipedia limitation term coverage arabic wikipeedia quality diacritic training performance use demonstration proof concept production code
huggingtweets/l2k,huggingtweets,2020-07-21 05:09:53+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/borisdayma,huggingtweets,2020-07-21 18:35:34+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/lavanyaai,huggingtweets,2020-07-21 18:45:22+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/julien_c,huggingtweets,2020-07-21 22:05:48+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/clementdelangue,huggingtweets,2020-07-21 22:54:09+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/thom_wolf,huggingtweets,2020-07-30 21:22:14+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
akhooli/gpt2-small-arabic-poetry,akhooli,2020-08-03 18:06:34+00:00,limitations and bias,"both the gpt2-small-arabic (trained on arabic wikipedia) and this model have several limitations in terms of coverage and training performance. 
use them as demonstrations or proof of concepts but not as production code.",False,True,gpt small arabic train arabic wikipedia model limitation term coverage training performance use demonstration proof concept production code
Primer/bart-squad2,Primer,2020-08-28 16:09:59+00:00,limitations and bias,"unknown, no further evaluation has been performed. in a technical sense one big limitation is that it's 1.6g 😬",False,True,unknown evaluation perform technical sense big limitation g
huggingtweets/vanpelt,huggingtweets,2020-09-03 22:16:10+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
rjbownes/Magic-The-Generating,rjbownes,2020-09-05 18:14:48+00:00,limitations and bias,"the training corpus was surprisingly small, only ~29000 cards, i had suspected there were more. this might mean there is a real limit to the number of entirely original strings this will generate.
this is also only based on the 117m parameter gpt2, it's a pretty obvious upgrade to retrain with medium, large or xl models. however, despite this, the outputs i tested were very convincing!",False,True,training corpus surprisingly small card I suspect mean real limit number entirely original string generate base m parameter gpt pretty obvious upgrade retrain medium large xl model despite output I test convincing
huggingtweets/charles_irl,huggingtweets,2020-09-07 23:28:04+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/elonmusk,huggingtweets,2020-09-07 23:33:10+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/karpathy,huggingtweets,2020-09-07 23:37:26+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/jackclarksf,huggingtweets,2020-09-07 23:41:44+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/shivon,huggingtweets,2020-09-07 23:44:08+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/fchollet,huggingtweets,2020-09-07 23:48:00+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/jeffdean,huggingtweets,2020-09-07 23:53:03+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/jeremyphoward,huggingtweets,2020-09-07 23:59:25+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/ylecun,huggingtweets,2020-09-08 00:04:35+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/iamcardib,huggingtweets,2020-09-08 00:11:09+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/billgates,huggingtweets,2020-09-08 00:16:30+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/rickandmorty,huggingtweets,2020-09-08 00:19:24+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/peteskomoroch,huggingtweets,2020-09-08 01:55:14+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/naval,huggingtweets,2020-09-08 01:58:33+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/danielgross,huggingtweets,2020-09-08 02:16:30+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/jamescham,huggingtweets,2020-09-08 02:26:47+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/roybahat,huggingtweets,2020-09-08 02:32:15+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/realdonaldtrump,huggingtweets,2020-09-08 02:47:43+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/lexfridman,huggingtweets,2020-09-08 02:50:14+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/adhitadselvaraj,huggingtweets,2020-09-09 15:42:49+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/moderadillo,huggingtweets,2020-09-09 15:52:10+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/theosanderson,huggingtweets,2020-09-09 15:56:51+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/benedictevans,huggingtweets,2020-09-09 15:58:30+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/parmarsuraj99,huggingtweets,2020-09-09 16:42:21+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/nntaleb,huggingtweets,2020-09-09 16:42:40+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/micbucci,huggingtweets,2020-09-09 16:45:24+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/crusaderkings,huggingtweets,2020-09-09 16:47:56+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/senorstallone,huggingtweets,2020-09-09 16:48:05+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/natesilver538,huggingtweets,2020-09-09 16:58:55+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/brotundsaft,huggingtweets,2020-09-09 17:02:12+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/sanhestpasmoi,huggingtweets,2020-09-09 17:03:49+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/sadhgurujv,huggingtweets,2020-09-09 17:07:16+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/brandonreeves08,huggingtweets,2020-09-09 17:09:27+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/notadamking,huggingtweets,2020-09-09 17:15:46+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/vgr,huggingtweets,2020-09-09 17:18:31+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/delicious_tacos,huggingtweets,2020-09-09 17:37:54+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/prof_jtaylor,huggingtweets,2020-09-09 17:47:25+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/matthartman,huggingtweets,2020-09-09 17:47:55+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/brucel,huggingtweets,2020-09-09 17:54:19+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/jrosenfeld13,huggingtweets,2020-09-09 17:56:58+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/sam__cash,huggingtweets,2020-09-09 18:14:47+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/gpeyronnet,huggingtweets,2020-09-09 18:21:44+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/richardcraib,huggingtweets,2020-09-09 18:38:46+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/chrissyteigen,huggingtweets,2020-09-09 18:42:26+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/dobbelaerew,huggingtweets,2020-09-09 18:50:28+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/viral_b_shah,huggingtweets,2020-09-09 20:02:56+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/timkellernyc,huggingtweets,2020-09-09 20:28:34+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/richardsocher,huggingtweets,2020-09-10 00:52:51+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/pseudomanifold,huggingtweets,2020-09-10 06:19:00+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/geilehirnbude,huggingtweets,2020-09-10 06:29:30+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/texttheater,huggingtweets,2020-09-10 06:36:33+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/hamelhusain,huggingtweets,2020-09-10 08:59:13+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/fiersabesari,huggingtweets,2020-09-10 09:40:55+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/proffeynman,huggingtweets,2020-09-10 13:00:01+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/narendramodi,huggingtweets,2020-09-10 13:07:54+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
