model_name,HF_URL,downloads,has_modelcard,word_cnt,short_model_card(<=300),very_short_model_card(<=100),nonempty_section_num,empty_section_num,creation_year,creation_time
uclanlp/visualbert-nlvr2-coco-pre,https://huggingface.co/uclanlp/visualbert-nlvr2-coco-pre,848,No,,,,,,2021.0,2021-05-31
CompVis/stable-diffusion-safety-checker,https://huggingface.co/CompVis/stable-diffusion-safety-checker,2029339,No,,,,,,2022.0,2022-08-22
SetFit/distilbert-base-uncased__enron_spam__all-train,https://huggingface.co/SetFit/distilbert-base-uncased__enron_spam__all-train,1456,No,,,,,,2022.0,2022-01-26
ibm/qcpg-sentences,https://huggingface.co/ibm/qcpg-sentences,936,No,,,,,,2022.0,2022-05-18
princeton-nlp/sup-simcse-bert-large-uncased,https://huggingface.co/princeton-nlp/sup-simcse-bert-large-uncased,2392,No,,,,,,2021.0,2021-04-21
dmis-lab/biobert-large-cased-v1.1-squad,https://huggingface.co/dmis-lab/biobert-large-cased-v1.1-squad,4044,No,,,,,,2021.0,2021-03-11
studio-ousia/luke-large-finetuned-conll-2003,https://huggingface.co/studio-ousia/luke-large-finetuned-conll-2003,7433,No,,,,,,2021.0,2021-04-25
princeton-nlp/unsup-simcse-bert-large-uncased,https://huggingface.co/princeton-nlp/unsup-simcse-bert-large-uncased,2170,No,,,,,,2021.0,2021-05-12
Intel/dynamic_tinybert,https://huggingface.co/Intel/dynamic_tinybert,5234,No,,,,,,2021.0,2021-11-22
dmis-lab/biobert-base-cased-v1.2,https://huggingface.co/dmis-lab/biobert-base-cased-v1.2,35303,No,,,,,,2021.0,2021-06-22
ArthurZ/flax-tiny-random-bert-sharded,https://huggingface.co/ArthurZ/flax-tiny-random-bert-sharded,19764,No,,,,,,2022.0,2022-06-17
tmills/cnlpt-negation-roberta-sharpseed,https://huggingface.co/tmills/cnlpt-negation-roberta-sharpseed,762,No,,,,,,2022.0,2022-03-04
google/pegasus-x-large,https://huggingface.co/google/pegasus-x-large,1896,No,,,,,,2022.0,2022-09-01
howey/roberta-large-qqp,https://huggingface.co/howey/roberta-large-qqp,1153,No,,,,,,2021.0,2021-06-04
opentensor/bt-opt-1.3b,https://huggingface.co/opentensor/bt-opt-1.3b,11055,No,,,,,,2022.0,2022-09-22
armheb/DNA_bert_6,https://huggingface.co/armheb/DNA_bert_6,1758,No,,,,,,2021.0,2021-10-10
logan910/repo_name,https://huggingface.co/logan910/repo_name,11283,No,,,,,,2022.0,2022-08-04
nielsr/detr-table-structure-recognition,https://huggingface.co/nielsr/detr-table-structure-recognition,1159,No,,,,,,2022.0,2022-09-06
valhalla/s2t_mustc_multilinguial_medium,https://huggingface.co/valhalla/s2t_mustc_multilinguial_medium,2977,No,,,,,,2021.0,2021-03-03
ucinlp/diabetes-t5-small,https://huggingface.co/ucinlp/diabetes-t5-small,847,No,,,,,,2022.0,2022-08-26
Rakib/roberta-base-on-cuad,https://huggingface.co/Rakib/roberta-base-on-cuad,7579,No,,,,,,2021.0,2021-07-03
sgugger/tiny-distilbert-classification,https://huggingface.co/sgugger/tiny-distilbert-classification,3114,No,,,,,,2021.0,2021-07-29
Yale-LILY/brio-cnndm-cased,https://huggingface.co/Yale-LILY/brio-cnndm-cased,708,No,,,,,,2022.0,2022-05-16
KETI-AIR/ke-t5-base,https://huggingface.co/KETI-AIR/ke-t5-base,53200,No,,,,,,2021.0,2021-05-05
uclanlp/visualbert-vqa-coco-pre,https://huggingface.co/uclanlp/visualbert-vqa-coco-pre,6925,No,,,,,,2021.0,2021-05-31
hyunwoongko/asian-bart-ecjk,https://huggingface.co/hyunwoongko/asian-bart-ecjk,10629,No,,,,,,2021.0,2021-04-01
princeton-nlp/unsup-simcse-roberta-base,https://huggingface.co/princeton-nlp/unsup-simcse-roberta-base,2179,No,,,,,,2021.0,2021-05-12
peerapongch/baikal-sentiment-ball,https://huggingface.co/peerapongch/baikal-sentiment-ball,8799,No,,,,,,2022.0,2022-04-11
hkunlp/T5_base_finetune_all_tasks_2upsample2,https://huggingface.co/hkunlp/T5_base_finetune_all_tasks_2upsample2,1150,No,,,,,,2021.0,2021-12-24
studio-ousia/luke-large-finetuned-tacred,https://huggingface.co/studio-ousia/luke-large-finetuned-tacred,1520,No,,,,,,2021.0,2021-04-25
DeepChem/ChemBERTa-10M-MTR,https://huggingface.co/DeepChem/ChemBERTa-10M-MTR,162816,No,,,,,,2022.0,2022-01-20
dmis-lab/biosyn-sapbert-ncbi-disease,https://huggingface.co/dmis-lab/biosyn-sapbert-ncbi-disease,1417,No,,,,,,2021.0,2021-10-24
flax-community/gpt-neo-125M-code-clippy-dedup-2048,https://huggingface.co/flax-community/gpt-neo-125M-code-clippy-dedup-2048,2198,No,,,,,,2021.0,2021-07-17
KETI-AIR/ke-t5-small,https://huggingface.co/KETI-AIR/ke-t5-small,5647,No,,,,,,2021.0,2021-05-05
SkolkovoInstitute/gpt2-base-gedi-detoxification,https://huggingface.co/SkolkovoInstitute/gpt2-base-gedi-detoxification,3585,No,,,,,,2021.0,2021-11-02
deepset/bert-small-mm_retrieval-table_encoder,https://huggingface.co/deepset/bert-small-mm_retrieval-table_encoder,6749,No,,,,,,2021.0,2021-10-19
princeton-nlp/sup-simcse-roberta-base,https://huggingface.co/princeton-nlp/sup-simcse-roberta-base,17045,No,,,,,,2021.0,2021-04-21
hyunwoongko/ctrlsum-cnndm,https://huggingface.co/hyunwoongko/ctrlsum-cnndm,2376,No,,,,,,2021.0,2021-03-21
deepset/bert-small-mm_retrieval-question_encoder,https://huggingface.co/deepset/bert-small-mm_retrieval-question_encoder,6759,No,,,,,,2021.0,2021-10-19
microsoft/swinv2-large-patch4-window12-192-22k,https://huggingface.co/microsoft/swinv2-large-patch4-window12-192-22k,766,No,,,,,,2022.0,2022-06-15
princeton-nlp/unsup-simcse-bert-base-uncased,https://huggingface.co/princeton-nlp/unsup-simcse-bert-base-uncased,127930,No,,,,,,2021.0,2021-05-12
KoboldAI/GPT-J-6B-Skein,https://huggingface.co/KoboldAI/GPT-J-6B-Skein,5174,No,,,,,,2021.0,2021-12-24
patrickvonplaten/wav2vec2-base-v2,https://huggingface.co/patrickvonplaten/wav2vec2-base-v2,1988,No,,,,,,2021.0,2021-10-05
atharvamundada99/bert-large-question-answering-finetuned-legal,https://huggingface.co/atharvamundada99/bert-large-question-answering-finetuned-legal,2281,No,,,,,,2021.0,2021-05-09
